"name","id","urlname","country_acronym","state","city","members","lat","lon","timezone"
"R-Ladies Eskisehir","33007398","rladies-eskisehir","tr","","Eskisehir",228,39.79,30.52,"Europe/Istanbul"
"R-Ladies Beijing","33007355","rladies-beijing","cn","","Beijing",55,39.93,116.4,"Asia/Shanghai"
"R-Ladies Masqat","32964072","rladies-masqat","om","","Muscat",212,23.61,58.54,"Asia/Dubai"
"R-Ladies Bergen","32946570","rladies-bergen","no","","Bergen",354,60.38,5.34,"Europe/Oslo"
"R-Ladies Pune","32826541","rladies-pune","in","","Pune",163,18.53,73.84,"Asia/Kolkata"
"R-Ladies Vitória","32826513","rladies-vitoria","br","","Vitória",234,-20.31,-40.31,"America/Sao_Paulo"
"R-Ladies Medellín","32823667","rladies-medellin","co","","Medellín",904,6.25,-75.59,"America/Bogota"
"R-Ladies Podgorica","32783356","rladies-podgorica","me","","Podgorica",34,42.47,19.28,"Europe/Belgrade"
"R-Ladies Pachuca","32767673","rladies-pachuca","mx","","Pachuca",22,20.12,-98.76,"America/Mexico_City"
"R-Ladies Calgary","32763890","rladies-calgary","ca","AB","Calgary",207,51.04,-114.06,"America/Edmonton"
"R-Ladies Recife","32713369","rladies-recife","br","","Recife",154,-8.08,-34.92,"America/Recife"
"R-Ladies New Delhi","32705558","rladies-new-delhi","in","","Delhi",371,28.67,77.21,"Asia/Kolkata"
"R-Ladies Athens","32702266","rladies-athens-ga","us","GA","Athens",85,33.97,-83.36,"America/New_York"
"R-Ladies L'viv","32702177","rladies-lviv","ua","","L'viv",47,49.84,24.03,"Europe/Kiev"
"R-Ladies Lagos","32612004","rladies-lagos","ng","","Lagos",526,6.45,3.47,"Africa/Lagos"
"R-Ladies Lexington Park","32611075","rladies-lexington-park","us","MD","Lexington Park",39,38.27,-76.46,"America/New_York"
"R-Ladies Cuernavaca","32604355","rladies-cuernavaca","mx","","Cuernavaca",941,18.92,-99.25,"America/Mexico_City"
"R-Ladies Riverside","32522592","rladies-riverside","us","CA","Riverside",485,33.99,-117.37,"America/Los_Angeles"
"R-Ladies Fayetteville","32478325","rladies-fayetteville","us","AR","Fayetteville",149,36.05,-94.14,"America/Chicago"
"R-Ladies Puebla","32426344","rladies-puebla","mx","","Puebla",2422,19.05,-98.22,"America/Mexico_City"
"R-Ladies Kansas City","32426227","rladies-kansas-city","us","MO","Kansas City",66,39.1,-94.6,"America/Chicago"
"R-Ladies Jakarta","32327430","rladies-jakarta","id","","Jakarta",581,-6.18,106.83,"Asia/Jakarta"
"R-Ladies Denver","32308998","rladies-denver","us","CO","Denver",145,39.7,-105.08,"America/Denver"
"R-Ladies Ankara","32299165","rladies-ankara","tr","","Ankara",644,39.93,32.85,"Europe/Istanbul"
"R-Ladies Utrecht","32144791","rladies-utrecht","nl","","Utrecht",321,52.1,5.11,"Europe/Amsterdam"
"R-Ladies Novi Sad","32012873","rladies-novi-sad","rs","","Novi Sad",145,45.25,19.85,"Europe/Belgrade"
"R-Ladies Bucharest","31859491","rladies-bucharest","ro","","Bucharest",278,44.44,26.1,"Europe/Bucharest"
"R-Ladies Highland Park","31858594","rladies-highland-park","us","NJ","Highland Park",81,40.5,-74.43,"America/New_York"
"R-Ladies Goiânia","31829495","rladies-goiania","br","","Goiania",461,-16.72,-49.26,"America/Sao_Paulo"
